EMOJI,SIZE (in cm),INFO
😂,26,
❤️,12,
🐓,35,
🚗,180,
🛻,190,
🚒,230,
🐈,25,
🐕,70,
🐅,120,
🐘,320,
🥚,5,
🐥,9,
🐋,26 * 100,In length...
💍,2,
☕️,10,
🔥,40,
💪,30,
👌,21,
🌸,5,
💋,12,
💃,159,
🧜‍♀️,200,
🍀,6,
🌷,12,
🏃,165,
🌝,3468000,
🌎,12742000,
🪐,116464000,
🐉,1600,
📷,11,
🐝,1.5,
🦒,550,
🦖,610,
🦕,1600,
🐩,55,
🦘,160,
🍺,18,
🐇,35,
🌴,975,
⛩,250,
🕋,1310,
🗼,33300,
🏯,5800,Osaka Castle?
🍪,6,
🍶,17.5,
🎲,1.9,
🦩,105,
🏠,230,
🏛,17*100,Maison Carree
🏰,65*100,Neuschwanstein Castle
🏟,63*100,Astrodome
